date,region,product,revenue
2025-02-12,Europe,Beacon,2222.71
2025-02-13,Europe,Cirrus,3544.04
2025-02-13,Europe,Delta,5443.01
2025-02-13,Latin America,Cirrus,1982.38
2025-02-14,Asia Pacific,Cirrus,1902.09
2025-02-14,North America,Atlas,8071.04
2025-02-15,Europe,Delta,3888.82
2025-02-16,Asia Pacific,Delta,3583.77
2025-02-17,Asia Pacific,Atlas,4492.69
2025-02-17,North America,Delta,4278.65
2025-02-18,Asia Pacific,Cirrus,4111.24
2025-02-18,Europe,Cirrus,4099.51
2025-02-19,Europe,Delta,2905.99
2025-02-21,Europe,Delta,2944.55
2025-02-22,Asia Pacific,Atlas,3947.72
2025-02-22,Latin America,Cirrus,3240.86
2025-02-23,Asia Pacific,Cirrus,3535.07
2025-02-23,Europe,Atlas,6833.19
2025-02-24,North America,Delta,4634.20
2025-02-27,Latin America,Atlas,2071.71
2025-02-27,North America,Atlas,4801.03
2025-02-28,Latin America,Atlas,3888.02
2025-03-01,Europe,Atlas,5773.26
2025-03-01,Latin America,Atlas,2750.82
2025-03-01,North America,Beacon,9337.52
2025-03-01,North America,Beacon,9356.50
2025-03-02,Europe,Beacon,6726.28
2025-03-03,Europe,Cirrus,6153.60
2025-03-05,Europe,Delta,6609.59
2025-03-07,Asia Pacific,Atlas,4037.86
2025-03-10,Latin America,Beacon,1616.78
2025-03-10,North America,Delta,7163.23
2025-03-11,Europe,Delta,5119.39
2025-03-11,North America,Beacon,7276.08
2025-03-12,Asia Pacific,Cirrus,1553.55
2025-03-13,Europe,Beacon,3016.41
2025-03-14,Asia Pacific,Delta,4321.55
2025-03-16,Europe,Beacon,5157.03
2025-03-18,North America,Beacon,9177.97
2025-03-19,Asia Pacific,Beacon,3959.33
2025-03-19,Latin America,Atlas,1286.28
2025-03-19,Latin America,Cirrus,1955.15
2025-03-19,Latin America,Beacon,2993.63
2025-03-21,Latin America,Delta,1141.35
2025-03-23,Europe,Atlas,6190.31
2025-03-24,Asia Pacific,Beacon,1179.86
2025-03-24,Europe,Beacon,2404.27
2025-03-27,Europe,Beacon,4982.81
2025-03-27,Europe,Delta,6804.20
2025-03-27,Latin America,Cirrus,3951.68
2025-03-29,North America,Delta,6824.85
2025-03-30,Latin America,Delta,1244.68
2025-03-31,Europe,Cirrus,3346.01
2025-03-31,North America,Cirrus,7082.55
2025-03-31,North America,Delta,5609.80
2025-04-01,Asia Pacific,Cirrus,2310.51
2025-04-01,Latin America,Delta,2183.14
2025-04-01,North America,Beacon,7482.48
2025-04-02,Europe,Atlas,5261.48
2025-04-02,Latin America,Atlas,1570.52
2025-04-02,North America,Atlas,5228.30
2025-04-02,North America,Atlas,8019.02
2025-04-04,Latin America,Delta,2866.44
2025-04-05,Latin America,Beacon,1528.46
2025-04-05,North America,Beacon,9493.98
2025-04-07,Europe,Beacon,5658.43
2025-04-07,North America,Cirrus,3063.25
2025-04-08,Europe,Atlas,5790.82
2025-04-10,Asia Pacific,Cirrus,1635.90
2025-04-10,Latin America,Delta,1629.95
2025-04-10,North America,Atlas,7546.22
2025-04-11,Latin America,Atlas,2776.87
2025-04-12,Asia Pacific,Beacon,2142.93
2025-04-13,Asia Pacific,Beacon,4573.28
2025-04-14,Asia Pacific,Atlas,1603.47
2025-04-14,Europe,Beacon,3194.62
2025-04-14,North America,Beacon,7365.15
2025-04-15,Asia Pacific,Cirrus,4388.10
2025-04-16,North America,Delta,8484.05
2025-04-17,Europe,Beacon,6604.91
2025-04-17,Latin America,Delta,2423.45
2025-04-18,Europe,Delta,2146.94
2025-04-18,Latin America,Cirrus,2136.24
2025-04-19,North America,Atlas,2763.96
2025-04-20,Asia Pacific,Beacon,4406.90
2025-04-21,North America,Delta,4805.87
2025-04-22,Europe,Delta,2560.01
2025-04-22,Latin America,Beacon,3425.63
2025-04-22,North America,Cirrus,7566.78
2025-04-23,Europe,Beacon,2184.34
2025-04-24,Latin America,Cirrus,1911.80
2025-04-25,North America,Cirrus,7217.55
2025-04-27,Europe,Cirrus,5591.13
2025-04-28,Asia Pacific,Beacon,4380.85
2025-04-28,North America,Atlas,4045.50
2025-04-29,Asia Pacific,Atlas,3752.38
2025-04-30,Latin America,Delta,1793.59
2025-04-30,North America,Delta,7366.50
2025-05-01,Europe,Delta,7284.71
2025-05-01,Europe,Beacon,2142.95
2025-05-01,North America,Atlas,5108.92
2025-05-02,Asia Pacific,Beacon,1454.87
2025-05-02,Europe,Atlas,4117.91
2025-05-03,Europe,Beacon,6835.19
2025-05-03,Europe,Beacon,4170.44
2025-05-04,Europe,Beacon,4234.72
2025-05-04,Latin America,Delta,3683.84
2025-05-05,North America,Beacon,9261.45
2025-05-06,Latin America,Atlas,3149.21
2025-05-06,Latin America,Delta,2571.95
2025-05-07,Asia Pacific,Atlas,2522.92
2025-05-07,Europe,Delta,2405.23
2025-05-08,Asia Pacific,Delta,4478.59
2025-05-09,Asia Pacific,Delta,4676.37
2025-05-09,Europe,Beacon,4993.89
2025-05-10,North America,Atlas,3311.62
2025-05-12,Asia Pacific,Delta,1354.63
2025-05-12,Europe,Beacon,5389.06
2025-05-13,Europe,Delta,7030.88
2025-05-13,North America,Delta,5032.17
2025-05-13,North America,Beacon,2994.50
2025-05-13,North America,Beacon,3905.38
2025-05-15,North America,Delta,5799.29
2025-05-15,North America,Beacon,7231.97
2025-05-17,North America,Beacon,6451.37
2025-05-18,Latin America,Atlas,3369.29
2025-05-20,Europe,Cirrus,3378.95
2025-05-21,Latin America,Cirrus,2468.32
2025-05-21,North America,Delta,9806.18
2025-05-22,Europe,Cirrus,3226.98
2025-05-22,Latin America,Cirrus,3208.71
2025-05-22,Latin America,Atlas,3392.01
2025-05-22,North America,Cirrus,5959.54
2025-05-24,Asia Pacific,Delta,4509.06
2025-05-25,Asia Pacific,Delta,4706.04
2025-05-26,North America,Beacon,3808.10
2025-05-29,Latin America,Atlas,1157.97
2025-05-30,Latin America,Beacon,3083.59
2025-05-30,North America,Cirrus,4119.46
2025-05-31,Europe,Atlas,5393.94
2025-05-31,Latin America,Atlas,2464.68
2025-06-01,Europe,Atlas,7208.81
2025-06-02,Europe,Beacon,4019.44
2025-06-03,Europe,Delta,6803.09
2025-06-03,Europe,Delta,3362.01
2025-06-04,North America,Cirrus,3977.73
2025-06-06,Asia Pacific,Delta,4948.10
2025-06-06,Europe,Atlas,6544.91
2025-06-06,North America,Cirrus,6613.21
2025-06-07,Asia Pacific,Atlas,3393.06
2025-06-07,Europe,Atlas,4230.50
2025-06-07,Europe,Cirrus,5045.72
2025-06-08,Asia Pacific,Cirrus,3323.49
2025-06-11,Asia Pacific,Delta,4730.88
2025-06-11,Asia Pacific,Atlas,1887.62
2025-06-11,Asia Pacific,Beacon,4712.73
2025-06-11,North America,Beacon,6542.15
2025-06-11,North America,Beacon,2690.92
2025-06-11,North America,Cirrus,9825.52
2025-06-12,Europe,Atlas,2965.29
2025-06-12,Latin America,Delta,1733.10
2025-06-14,Europe,Cirrus,6886.00
2025-06-15,Latin America,Cirrus,2923.40
2025-06-16,Asia Pacific,Atlas,1701.33
2025-06-18,Asia Pacific,Cirrus,3517.38
2025-06-18,Asia Pacific,Beacon,4779.24
2025-06-19,Asia Pacific,Cirrus,4164.01
2025-06-20,Latin America,Delta,3041.84
2025-06-21,Europe,Cirrus,3805.05
2025-06-22,Europe,Atlas,6296.22
2025-06-22,North America,Atlas,5674.79
2025-06-23,North America,Cirrus,3384.74
2025-06-24,North America,Delta,4064.07
2025-06-26,Latin America,Beacon,1647.93
2025-06-28,Europe,Atlas,6201.05
2025-06-29,North America,Beacon,7239.64
2025-06-30,Asia Pacific,Delta,4078.39
2025-06-30,Asia Pacific,Atlas,4467.59
2025-06-30,Asia Pacific,Beacon,5217.30
2025-06-30,North America,Beacon,5368.04
2025-06-30,North America,Cirrus,4957.77
2025-07-01,Europe,Cirrus,4356.36
2025-07-02,Europe,Delta,7071.56
2025-07-02,Latin America,Atlas,2057.12
2025-07-03,North America,Delta,3876.25
2025-07-04,Latin America,Cirrus,2312.12
2025-07-05,Latin America,Atlas,2360.53
2025-07-05,North America,Cirrus,3115.13
2025-07-06,Asia Pacific,Cirrus,1738.00
2025-07-07,North America,Cirrus,6966.75
2025-07-08,Asia Pacific,Atlas,5572.51
2025-07-08,Latin America,Beacon,3180.12
2025-07-08,Latin America,Beacon,1188.23
2025-07-09,Asia Pacific,Cirrus,4275.67
2025-07-10,Asia Pacific,Cirrus,5726.86
2025-07-10,Latin America,Cirrus,1441.17
2025-07-11,Europe,Beacon,2266.00
2025-07-11,Latin America,Atlas,1304.18
2025-07-13,Asia Pacific,Beacon,5051.77
2025-07-13,Latin America,Cirrus,1574.32
2025-07-14,Asia Pacific,Cirrus,5153.88
2025-07-14,North America,Delta,6826.30
2025-07-15,North America,Beacon,5025.43
2025-07-16,Asia Pacific,Cirrus,5568.77
2025-07-17,Latin America,Cirrus,2270.19
2025-07-17,North America,Atlas,5189.58
2025-07-19,Europe,Atlas,2445.96
2025-07-19,Europe,Atlas,3870.84
2025-07-20,Europe,Beacon,6073.09
2025-07-21,Europe,Cirrus,5409.79
2025-07-21,North America,Cirrus,10390.67
2025-07-23,Latin America,Beacon,3606.34
2025-07-24,North America,Atlas,6462.82
2025-07-26,Europe,Atlas,5612.15
2025-07-27,Asia Pacific,Cirrus,4801.86
2025-07-27,Europe,Beacon,7784.35
2025-07-27,North America,Cirrus,6928.22
2025-07-28,Asia Pacific,Cirrus,4817.03
2025-07-28,Europe,Beacon,2697.76
2025-07-28,North America,Delta,4546.05
2025-07-29,Asia Pacific,Beacon,1573.21
2025-07-30,North America,Delta,7985.67
2025-07-31,Latin America,Beacon,3277.10
2025-08-01,North America,Cirrus,6207.45
2025-08-01,North America,Cirrus,4708.40
2025-08-03,Europe,Cirrus,4125.38
2025-08-03,Europe,Atlas,4835.69
2025-08-03,Europe,Atlas,4451.35
2025-08-06,North America,Beacon,3551.94
2025-08-09,Asia Pacific,Atlas,2760.63
2025-08-09,Asia Pacific,Delta,2474.99
2025-08-09,Europe,Delta,2689.71
2025-08-10,Asia Pacific,Delta,2691.51
2025-08-10,Europe,Atlas,6900.85
2025-08-10,Latin America,Delta,1193.69
2025-08-11,Europe,Beacon,5163.42
2025-08-12,North America,Atlas,5075.96
2025-08-13,Asia Pacific,Delta,3107.03
2025-08-14,Asia Pacific,Cirrus,5578.37
2025-08-14,Asia Pacific,Beacon,5164.54
2025-08-14,Latin America,Atlas,2321.13
2025-08-15,Asia Pacific,Beacon,3274.84
2025-08-16,Latin America,Beacon,2256.58
2025-08-16,North America,Atlas,8562.71
2025-08-17,Asia Pacific,Delta,4651.07
2025-08-17,Latin America,Beacon,1745.05
2025-08-18,Europe,Atlas,6257.39
2025-08-19,North America,Delta,9064.22
2025-08-19,North America,Delta,6702.22
2025-08-21,Latin America,Delta,1136.83
2025-08-23,Europe,Delta,7768.42
2025-08-24,Europe,Beacon,2613.14
2025-08-24,Europe,Delta,4638.83
2025-08-25,Europe,Cirrus,6108.17
2025-08-26,Asia Pacific,Cirrus,3052.75
2025-08-28,Asia Pacific,Delta,2544.28
2025-08-28,Asia Pacific,Delta,3869.54
2025-08-28,North America,Cirrus,9600.82
2025-08-29,Europe,Cirrus,4659.56
2025-08-30,Asia Pacific,Atlas,6056.41
2025-08-30,Europe,Cirrus,3680.49
2025-08-31,Asia Pacific,Atlas,3174.09
2025-08-31,North America,Beacon,7491.10
2025-08-31,North America,Beacon,7859.61
2025-09-01,Asia Pacific,Atlas,3817.11
2025-09-02,Latin America,Cirrus,2997.25
2025-09-02,Latin America,Cirrus,2992.68
2025-09-02,North America,Cirrus,9723.17
2025-09-02,North America,Delta,3950.09
2025-09-02,North America,Atlas,3040.20
2025-09-03,Latin America,Delta,3072.15
2025-09-04,Asia Pacific,Beacon,2230.66
2025-09-06,Europe,Atlas,4478.24
2025-09-07,North America,Cirrus,3209.55
2025-09-10,Latin America,Cirrus,3007.46
2025-09-10,North America,Cirrus,10199.66
2025-09-14,Asia Pacific,Atlas,5476.36
2025-09-14,Europe,Beacon,5458.71
2025-09-14,North America,Beacon,4192.73
2025-09-15,Asia Pacific,Cirrus,4501.17
2025-09-15,North America,Atlas,4040.64
2025-09-16,Asia Pacific,Cirrus,4428.03
2025-09-17,North America,Cirrus,10403.05
2025-09-17,North America,Beacon,5913.71
2025-09-18,Latin America,Delta,1108.07
2025-09-18,North America,Cirrus,6650.63
2025-09-19,Asia Pacific,Delta,2987.34
2025-09-20,Asia Pacific,Cirrus,1958.04
2025-09-20,Latin America,Delta,2964.07
2025-09-22,Asia Pacific,Beacon,5471.89
2025-09-22,Latin America,Delta,2184.22
2025-09-23,Asia Pacific,Delta,4421.93
2025-09-24,Latin America,Cirrus,3158.84
2025-09-24,Latin America,Delta,987.62
2025-09-25,Asia Pacific,Cirrus,3071.27
2025-09-26,North America,Cirrus,6556.94
2025-09-28,North America,Atlas,3411.79
2025-09-30,North America,Cirrus,7439.84
2025-10-02,North America,Beacon,5804.83
2025-10-04,Latin America,Beacon,1798.43
2025-10-05,North America,Delta,4422.90
2025-10-05,North America,Delta,4715.92
2025-10-06,Europe,Beacon,3905.58
2025-10-07,Europe,Delta,3274.26
2025-10-07,North America,Beacon,7300.71
2025-10-09,Europe,Delta,3518.60
2025-10-10,Asia Pacific,Delta,1902.24
2025-10-10,Latin America,Delta,2749.31
2025-10-10,Latin America,Beacon,2666.21
2025-10-11,Europe,Beacon,7105.73
2025-10-11,Latin America,Cirrus,1490.99
2025-10-11,Latin America,Beacon,2602.42
2025-10-12,Asia Pacific,Cirrus,5845.54
2025-10-12,Asia Pacific,Beacon,6369.75
2025-10-12,North America,Cirrus,6269.88
2025-10-13,Latin America,Beacon,962.43
2025-10-13,North America,Atlas,6241.03
2025-10-13,North America,Beacon,10139.11
2025-10-14,Asia Pacific,Cirrus,6901.76
2025-10-14,Europe,Delta,2454.92
2025-10-14,North America,Atlas,5649.44
2025-10-15,Asia Pacific,Atlas,3311.68
2025-10-18,Asia Pacific,Cirrus,5606.38
2025-10-18,North America,Delta,7533.01
2025-10-18,North America,Cirrus,8625.15
2025-10-19,Europe,Beacon,3760.71
2025-10-19,North America,Atlas,4396.88
2025-10-21,Asia Pacific,Delta,6062.85
2025-10-21,Europe,Delta,6879.43
2025-10-21,North America,Delta,3867.49
2025-10-23,Europe,Cirrus,3842.50
2025-10-23,Latin America,Beacon,2341.47
2025-10-24,Asia Pacific,Cirrus,3212.82
2025-10-25,Asia Pacific,Delta,2669.20
2025-10-26,Asia Pacific,Cirrus,3633.61
2025-10-26,Europe,Beacon,7747.23
2025-10-26,North America,Beacon,9066.92
2025-10-28,Europe,Beacon,3654.92
2025-10-28,Europe,Beacon,4000.45
2025-10-28,Latin America,Beacon,2411.97
2025-10-29,Latin America,Atlas,2811.54
2025-10-30,Latin America,Beacon,964.15
2025-10-30,North America,Delta,10337.61
2025-10-30,North America,Beacon,10942.02
2025-10-31,North America,Beacon,2824.81
2025-11-01,North America,Atlas,6077.31
2025-11-02,Europe,Beacon,4401.21
2025-11-03,Europe,Atlas,3779.66
2025-11-03,Europe,Delta,4102.96
2025-11-03,North America,Cirrus,9112.50
2025-11-05,Asia Pacific,Cirrus,4604.90
2025-11-07,Europe,Delta,6322.07
2025-11-07,Latin America,Atlas,1391.61
2025-11-12,North America,Beacon,2994.92
2025-11-13,Europe,Atlas,6392.24
2025-11-13,Latin America,Beacon,3357.84
2025-11-15,Europe,Atlas,7587.52
2025-11-16,Asia Pacific,Atlas,2419.90
2025-11-16,Asia Pacific,Beacon,3708.47
2025-11-16,Asia Pacific,Delta,5275.84
2025-11-16,Latin America,Atlas,1348.72
2025-11-19,Asia Pacific,Beacon,5546.85
2025-11-19,North America,Atlas,5363.38
2025-11-20,North America,Beacon,3842.84
2025-11-21,Asia Pacific,Delta,6043.21
2025-11-21,North America,Cirrus,6326.18
2025-11-22,Asia Pacific,Delta,6313.81
2025-11-22,Europe,Beacon,7672.85
2025-11-22,Latin America,Cirrus,2579.93
2025-11-23,Europe,Atlas,6962.10
2025-11-24,Europe,Atlas,2392.67
2025-11-25,Asia Pacific,Atlas,3066.33
2025-11-25,Asia Pacific,Beacon,6503.81
2025-11-25,Asia Pacific,Delta,6071.89
2025-11-26,Asia Pacific,Beacon,3510.13
2025-11-28,Asia Pacific,Beacon,6797.85
2025-11-28,Europe,Delta,6459.31
2025-11-29,North America,Beacon,8920.18
2025-11-30,Asia Pacific,Cirrus,6897.80
2025-11-30,Asia Pacific,Delta,5426.33
2025-11-30,Latin America,Atlas,1420.07
2025-11-30,North America,Cirrus,3269.72
2025-11-30,North America,Beacon,8835.64
2025-12-01,Latin America,Atlas,2482.25
2025-12-03,Europe,Delta,4325.57
2025-12-03,Latin America,Atlas,2423.77
2025-12-05,Asia Pacific,Atlas,4620.50
2025-12-06,Europe,Atlas,5206.15
2025-12-08,Asia Pacific,Delta,2545.04
2025-12-08,Europe,Cirrus,4826.64
2025-12-09,Asia Pacific,Atlas,6767.67
2025-12-09,Europe,Atlas,2602.55
2025-12-10,Latin America,Cirrus,3182.65
2025-12-11,Asia Pacific,Cirrus,4266.12
2025-12-11,Europe,Atlas,6337.81
2025-12-11,Latin America,Cirrus,3275.25
2025-12-12,Latin America,Cirrus,2798.39
2025-12-13,North America,Atlas,4826.88
2025-12-15,Latin America,Delta,1672.13
2025-12-16,Asia Pacific,Atlas,6218.72
2025-12-16,North America,Cirrus,9766.39
2025-12-17,Europe,Atlas,6262.62
2025-12-17,North America,Atlas,4658.08
2025-12-20,Asia Pacific,Beacon,4748.81
2025-12-20,Asia Pacific,Atlas,4563.61
2025-12-20,Europe,Delta,4203.94
2025-12-21,North America,Cirrus,5433.14
2025-12-24,Latin America,Cirrus,1423.06
2025-12-24,Latin America,Delta,2333.51
2025-12-24,North America,Delta,4910.99
2025-12-26,Asia Pacific,Delta,5722.44
2025-12-26,North America,Beacon,5149.05
2025-12-27,Europe,Cirrus,7495.22
2025-12-28,Asia Pacific,Atlas,3795.08
2025-12-28,Latin America,Delta,1278.05
2025-12-28,North America,Atlas,4216.47
2025-12-30,North America,Atlas,10479.81
